time,obs,beta_t
0,0,0.3
1,0,0.3320461231927861
2,2,0.36696968486017706
3,5,0.40437063383160515
4,3,0.4436356315706884
5,2,0.48392178485178616
6,4,0.5241589240266438
7,7,0.563075813772188
8,7,0.5992535039831858
9,13,0.6312055137934929
10,17,0.6574800819696112
11,17,0.6767750824825433
12,19,0.6880524260942441
13,31,0.6906368932262279
14,37,0.6842851163124637
15,49,0.6692140181632736
16,64,0.6460838727661066
17,60,0.6159381199541026
18,85,0.580108645400298
19,115,0.5401000345772732
20,151,0.49746840597811703
21,165,0.4537096132155424
22,182,0.4101683671332821
23,183,0.36797514653619456
24,225,0.32801278325843597
25,239,0.29091031724132904
26,234,0.25705875238978154
27,261,0.22664191058250704
28,204,0.19967552294750918
29,231,0.17604863322748943
30,238,0.1555628636568529
31,221,0.13796670229687094
32,194,0.12298342005805378
33,176,0.11033235530491163
34,172,0.09974406690802386
35,134,0.09097028368747379
36,140,0.0837897410112274
37,122,0.0780109766958516
38,104,0.07347303333126534
39,93,0.07004484080934135
40,97,0.06762387037496798
41,80,0.0661344824526624
42,72,0.06552624463193979
43,58,0.06577237475096996
44,62,0.06686836319591002
45,59,0.0688307421904172
46,52,0.07169589147820782
47,44,0.07551869403612943
48,38,0.08037077940572689
49,43,0.08633801685514049
50,51,0.09351685217321883
51,46,0.10200903353312779
52,53,0.11191426436824413
53,59,0.12332038281207809
54,64,0.1362908308708356
55,66,0.15084947339128224
56,58,0.166963276084162
57,56,0.18452394570574163
58,87,0.20333032389465555
59,81,0.22307400466682417
60,100,0.2433311546915377
